Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64644364,04/15/2025 01:14:56 AM,,DOT,Department of Transportation,Street Condition,Pothole,,11214,,,,,BAY 54 STREET,CROPSEY AVENUE,INTERSECTION,BROOKLYN,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04/15/2025 01:14:56 AM,13 BROOKLYN,,BROOKLYN,"988,106","151,414",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.582271691475334,-73.98611803,"(40.582271691475334, -73.98611803493489)"
64649366,04/15/2025 01:14:11 AM,,DOT,Department of Transportation,Street Condition,Pothole,,11224,WEST   21 STREET,WEST   21 STREET,PASTOR AGUSTIN QUILES JR PLACE,NEPTUNE AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04/15/2025 01:14:11 AM,13 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
64649883,04/15/2025 12:51:24 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10466,4126 WHITE PLAINS ROAD,WHITE PLAINS ROAD,EAST  230 STREET,EAST  231 STREET,EAST  230 STREET,EAST  231 STREET,ADDRESS,BRONX,WHITE PLAINS ROAD,,In Progress,,,,12 BRONX,2048440035,BRONX,"1,023,393","264,101",MOBILE,Unspecified,BRONX,,,,,,,,40.89148329,-73.85842595,"(40.8914832916542, -73.8584259521553)"
64648339,04/15/2025 12:50:59 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,453 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,MILLIGAN PLACE,WEST   11 STREET,MILLIGAN PLACE,WEST   11 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,,In Progress,,,04/15/2025 01:24:49 AM,02 MANHATTAN,1006060065,MANHATTAN,"984,665","207,092",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73509634531229,-73.99850253,"(40.73509634531229, -73.99850253409208)"
64652023,04/15/2025 12:50:47 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,111 BRIDGE STREET,BRIDGE STREET,YORK STREET,PROSPECT STREET,YORK STREET,PROSPECT STREET,ADDRESS,BROOKLYN,BRIDGE STREET,,In Progress,,,,02 BROOKLYN,3000680001,BROOKLYN,"988,469","194,671",PHONE,Unspecified,BROOKLYN,,,,,,,,40.70100268786659,-73.98478415,"(40.70100268786659, -73.98478415003956)"
64650875,04/15/2025 12:50:34 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463,5360 BROADWAY,BROADWAY,WEST  228 STREET,,WEST  228 STREET,,ADDRESS,NEW YORK,BROADWAY,,In Progress,,,,08 BRONX,1022150116,MANHATTAN,"1,009,718","258,450",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.876023136178674,-73.90790771,"(40.876023136178674, -73.9079077083527)"
64644800,04/15/2025 12:50:33 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11207,146 WYONA STREET,WYONA STREET,ATLANTIC AVENUE,LIBERTY AVENUE,ATLANTIC AVENUE,LIBERTY AVENUE,ADDRESS,BROOKLYN,WYONA STREET,,In Progress,,,,05 BROOKLYN,3036890026,BROOKLYN,"1,013,692","185,400",PHONE,Unspecified,BROOKLYN,,,,,,,,40.67550796742771,-73.89385781,"(40.67550796742771, -73.89385780779091)"
64649942,04/15/2025 12:50:28 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11208,146 GLEN STREET,GLEN STREET,CRESCENT STREET,AUTUMN AVENUE,CRESCENT STREET,AUTUMN AVENUE,ADDRESS,BROOKLYN,GLEN STREET,,In Progress,,,04/15/2025 01:48:55 AM,05 BROOKLYN,,BROOKLYN,"1,020,192","187,418",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681022910422826,-73.87041374,"(40.681022910422826, -73.87041374144984)"
64648720,04/15/2025 12:50:05 AM,,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,10308,56 MIDDLE LOOP ROAD,MIDDLE LOOP ROAD,ARMSTRONG AVENUE,ARMSTRONG AVENUE,ARMSTRONG AVENUE,ARMSTRONG AVENUE,ADDRESS,STATEN ISLAND,MIDDLE LOOP ROAD,,In Progress,,,,03 STATEN ISLAND,5054890211,STATEN ISLAND,"939,034","141,265",MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.55430023176921,-74.16271383,"(40.55430023176921, -74.16271382597688)"
64644820,04/15/2025 12:49:47 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,526 WILLIAMS AVENUE,WILLIAMS AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,WILLIAMS AVENUE,,In Progress,,,,05 BROOKLYN,3038180049,BROOKLYN,"1,012,694","180,859",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66304720771052,-73.89747488,"(40.66304720771052, -73.89747488337834)"
